==============================
iter time: 5
==========
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| #  |  atom1   |  atom2   |  atom3   |  atom4   |  atom5   |  atom6   |  atom7   |  atom8   |  atom9   |  atom10  |  atom11  |  atom12  |  atom13  |  atom14  |  atom15  |  atom16  |  atom17  |  atom18  |  atom19  |  atom20  |  atom21  |  atom22  |  atom23  |  atom24  |  atom25  |
| 36 | -0.12989 | -0.12986 | -0.12791 | -0.12787 | -0.1279  | -0.12791 | -0.12794 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12796 | -0.12783 | -0.12788 | -0.12797 | -0.12814 | -0.12799 | -0.12787 | -0.12795 | -0.12794 | -0.12795 |
| 37 | -0.12957 | -0.12948 | -0.12778 | -0.12806 | -0.1278  | -0.12789 | -0.12796 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12795 | -0.12854 | -0.12819 | -0.12805 | -0.12811 | -0.12771 | -0.12789 | -0.12788 | -0.12789 | -0.1279  |
| 38 | -0.13319 | -0.13313 | -0.13232 | -0.13228 | -0.13222 | -0.13239 | -0.13231 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.13227 | -0.1321  | -0.13179 | -0.13145 | -0.13174 | -0.13142 | -0.13169 | -0.13157 | -0.13157 | -0.13155 |
| 39 | -0.13078 | -0.1307  | -0.13078 | -0.13114 | -0.13108 | -0.13109 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13102 | -0.13087 | -0.13084 | -0.1306  | -0.13057 | -0.13041 | -0.13067 | -0.13056 | -0.13057 | -0.13059 |
| 40 | -0.12905 | -0.12913 | -0.12916 | -0.12934 | -0.12947 | -0.12948 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.12941 | -0.13013 | -0.12973 | -0.12974 | -0.12995 | -0.1299  | -0.12993 | -0.12994 | -0.12995 | -0.12998 |
| 41 | -0.11576 | -0.11579 | -0.11616 | -0.11585 | -0.11601 | -0.11589 | -0.1159  | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11592 | -0.11573 | -0.1158  | -0.1161  | -0.11586 | -0.11575 | -0.11604 | -0.11598 | -0.11599 | -0.11597 |
| 42 | -0.1184  | -0.11843 | -0.11865 | -0.11885 | -0.11886 | -0.11875 | -0.11885 | -0.11885 | -0.11885 | -0.11885 | -0.11885 | -0.11885 | -0.11885 | -0.11885 | -0.11885 | -0.11885 | -0.11916 | -0.11885 | -0.11892 | -0.1189  | -0.11922 | -0.11892 | -0.1191  | -0.1191  | -0.11909 |
| 43 | -0.12424 | -0.12427 | -0.12405 | -0.12413 | -0.12397 | -0.12387 | -0.12398 | -0.12398 | -0.12398 | -0.12398 | -0.12398 | -0.12398 | -0.12398 | -0.12398 | -0.12398 | -0.12398 | -0.12415 | -0.1243  | -0.1242  | -0.1247  | -0.12453 | -0.12435 | -0.12442 | -0.12441 | -0.12438 |
| 44 | -0.12778 | -0.12768 | -0.12613 | -0.12644 | -0.12629 | -0.12642 | -0.12641 | -0.12643 | -0.12643 | -0.12643 | -0.12643 | -0.12643 | -0.12643 | -0.12643 | -0.12643 | -0.12643 | -0.12703 | -0.12669 | -0.12678 | -0.12678 | -0.12648 | -0.1266  | -0.12667 | -0.12666 | -0.12663 |
| 45 | -0.12724 | -0.12735 | -0.12699 | -0.12702 | -0.12688 | -0.1269  | -0.12693 | -0.12693 | -0.12693 | -0.12693 | -0.12693 | -0.12693 | -0.12693 | -0.12693 | -0.12693 | -0.12693 | -0.12717 | -0.12647 | -0.12659 | -0.12677 | -0.12623 | -0.12661 | -0.12656 | -0.12657 | -0.12663 |
| 46 | -0.13217 | -0.13221 | -0.13227 | -0.13225 | -0.13222 | -0.13231 | -0.1322  | -0.13216 | -0.13216 | -0.13216 | -0.13216 | -0.13216 | -0.13216 | -0.13216 | -0.13216 | -0.13216 | -0.13145 | -0.13127 | -0.13081 | -0.13062 | -0.13056 | -0.13111 | -0.13087 | -0.13087 | -0.13087 |
| 47 | -0.13013 | -0.13022 | -0.13026 | -0.13032 | -0.13025 | -0.13051 | -0.13032 | -0.13028 | -0.13028 | -0.13028 | -0.13028 | -0.13028 | -0.13028 | -0.13028 | -0.13028 | -0.13028 | -0.13036 | -0.12947 | -0.12933 | -0.12947 | -0.12948 | -0.12968 | -0.12949 | -0.12949 | -0.12947 |
| 48 | -0.13118 | -0.13122 | -0.13089 | -0.13113 | -0.13114 | -0.13127 | -0.13114 | -0.13109 | -0.13109 | -0.13109 | -0.13109 | -0.13109 | -0.13109 | -0.13109 | -0.13109 | -0.13109 | -0.13071 | -0.13004 | -0.13017 | -0.13016 | -0.13015 | -0.13029 | -0.13019 | -0.13019 | -0.13016 |
| 49 | -0.11433 | -0.11437 | -0.11508 | -0.11485 | -0.1149  | -0.11471 | -0.11494 | -0.11497 | -0.11497 | -0.11497 | -0.11497 | -0.11497 | -0.11497 | -0.11497 | -0.11497 | -0.11497 | -0.1161  | -0.11638 | -0.11623 | -0.11616 | -0.11636 | -0.11613 | -0.11626 | -0.11626 | -0.11625 |
| 50 |  -0.119  | -0.11912 | -0.11886 | -0.11874 | -0.11874 | -0.11863 | -0.11876 | -0.11877 | -0.11877 | -0.11877 | -0.11877 | -0.11877 | -0.11877 | -0.11877 | -0.11877 | -0.11877 | -0.11941 | -0.11975 | -0.11974 | -0.11959 | -0.11976 | -0.1195  | -0.11964 | -0.11964 | -0.1197  |
| 51 | -0.11898 | -0.11902 | -0.11894 | -0.11909 | -0.11903 | -0.11889 | -0.11909 | -0.11913 | -0.11913 | -0.11913 | -0.11913 | -0.11913 | -0.11913 | -0.11913 | -0.11913 | -0.11913 | -0.12019 | -0.1201  | -0.11992 | -0.12016 | -0.12018 | -0.12002 | -0.12017 | -0.12017 | -0.12019 |
| 52 | -0.12616 | -0.12609 | -0.12543 | -0.12524 | -0.12527 | -0.12543 | -0.12533 | -0.12531 | -0.12531 | -0.12531 | -0.12531 | -0.12531 | -0.12531 | -0.12531 | -0.12531 | -0.12531 | -0.12565 | -0.12506 | -0.12509 | -0.12511 | -0.12503 | -0.12491 | -0.12499 | -0.12498 | -0.12499 |
| 53 | -0.12829 | -0.12835 | -0.12827 |  -0.128  | -0.12798 | -0.12808 | -0.12803 | -0.12803 | -0.12803 | -0.12803 | -0.12803 | -0.12803 | -0.12803 | -0.12803 | -0.12803 | -0.12803 | -0.12767 | -0.12718 | -0.12695 | -0.12687 | -0.12687 | -0.12695 | -0.12691 | -0.12691 | -0.12685 |
| 54 | -0.12815 | -0.12814 | -0.1284  | -0.12845 | -0.12829 | -0.12846 | -0.12836 | -0.12835 | -0.12835 | -0.12835 | -0.12835 | -0.12835 | -0.12835 | -0.12835 | -0.12835 | -0.12835 | -0.12849 | -0.12787 | -0.12774 | -0.12767 | -0.12769 | -0.12769 | -0.12775 | -0.12775 | -0.12775 |
| 55 | -0.12987 | -0.12991 | -0.1298  | -0.13004 | -0.12995 | -0.12989 | -0.12993 | -0.12994 | -0.12994 | -0.12994 | -0.12994 | -0.12994 | -0.12994 | -0.12994 | -0.12994 | -0.12994 | -0.13021 | -0.12944 | -0.12942 | -0.12952 | -0.12917 | -0.12949 | -0.12941 | -0.12941 | -0.12942 |
| 56 | -0.12737 | -0.12739 | -0.12757 | -0.12788 | -0.12786 | -0.1278  | -0.12781 | -0.12785 | -0.12785 | -0.12785 | -0.12785 | -0.12785 | -0.12785 | -0.12785 | -0.12785 | -0.12785 | -0.12815 | -0.12747 | -0.12751 | -0.12768 | -0.12749 | -0.12781 | -0.12782 | -0.12783 | -0.12785 |
| 57 | -0.11428 | -0.1141  | -0.11525 | -0.11502 | -0.11499 | -0.11509 | -0.11507 | -0.1151  | -0.1151  | -0.1151  | -0.1151  | -0.1151  | -0.1151  | -0.1151  | -0.1151  | -0.1151  | -0.11605 | -0.11601 | -0.11557 | -0.1158  | -0.1159  | -0.1158  | -0.11585 | -0.11584 | -0.11586 |
| 58 | -0.11264 | -0.11262 | -0.11381 | -0.11379 | -0.11379 | -0.11374 | -0.11372 | -0.11371 | -0.11371 | -0.11371 | -0.11371 | -0.11371 | -0.11371 | -0.11371 | -0.11371 | -0.11371 | -0.11488 | -0.11546 | -0.11544 | -0.11553 | -0.11555 | -0.11529 | -0.11558 | -0.11557 | -0.11558 |
| 59 | -0.11413 | -0.11408 | -0.11508 | -0.11517 | -0.11521 | -0.11498 | -0.1152  | -0.11521 | -0.11521 | -0.11521 | -0.11521 | -0.11521 | -0.11521 | -0.11521 | -0.11521 | -0.11521 | -0.11568 | -0.11633 | -0.11649 | -0.11645 | -0.11654 | -0.11645 | -0.11654 | -0.11652 | -0.11656 |
| 60 | -0.12371 | -0.12373 | -0.12298 | -0.12301 | -0.12316 | -0.12309 | -0.12312 | -0.12313 | -0.12313 | -0.12313 | -0.12313 | -0.12313 | -0.12313 | -0.12313 | -0.12313 | -0.12313 | -0.12302 | -0.12297 | -0.12325 | -0.12337 | -0.12335 | -0.12308 | -0.12315 | -0.12316 | -0.12314 |
| 61 | -0.12892 | -0.12885 | -0.12858 | -0.12861 | -0.12845 | -0.12831 | -0.1285  | -0.1285  | -0.1285  | -0.1285  | -0.1285  | -0.1285  | -0.1285  | -0.1285  | -0.1285  | -0.1285  | -0.12788 | -0.12775 | -0.12788 | -0.12791 | -0.1277  | -0.1278  | -0.12773 | -0.12774 | -0.12771 |
| 62 | -0.12637 | -0.12632 | -0.12686 | -0.1268  | -0.12682 | -0.12673 | -0.12675 | -0.12674 | -0.12674 | -0.12674 | -0.12674 | -0.12674 | -0.12674 | -0.12674 | -0.12674 | -0.12674 | -0.12632 | -0.12714 | -0.12704 | -0.12685 | -0.12673 | -0.12688 | -0.12679 | -0.12679 | -0.12681 |
| 63 | -0.12573 | -0.12566 | -0.12646 | -0.1268  | -0.12684 | -0.1268  | -0.12681 | -0.12686 | -0.12686 | -0.12686 | -0.12686 | -0.12686 | -0.12686 | -0.12686 | -0.12686 | -0.12686 | -0.12651 | -0.12677 | -0.12663 | -0.12651 | -0.12676 | -0.12674 | -0.12674 | -0.12674 | -0.12676 |
| 64 | -0.12666 | -0.12677 | -0.12678 | -0.12651 | -0.12656 | -0.12663 | -0.12658 | -0.12661 | -0.12661 | -0.12661 | -0.12661 | -0.12661 | -0.12661 | -0.12661 | -0.12661 | -0.12661 | -0.12612 | -0.12649 | -0.12652 | -0.12669 | -0.12683 | -0.12671 | -0.12663 | -0.12663 | -0.12662 |
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
PSNR: 24.907231242140426
==============================
==============================
iter time: 10
==========
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| #  |  atom1   |  atom2   |  atom3   |  atom4   |  atom5   |  atom6   |  atom7   |  atom8   |  atom9   |  atom10  |  atom11  |  atom12  |  atom13  |  atom14  |  atom15  |  atom16  |  atom17  |  atom18  |  atom19  |  atom20  |  atom21  |  atom22  |  atom23  |  atom24  |  atom25  |
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| 1  | -0.09931 | -0.09887 | -0.09885 | -0.09915 | -0.09928 | -0.10061 | -0.10077 | -0.10077 | -0.10076 | -0.10076 | -0.10076 | -0.10076 | -0.10076 | -0.10076 | -0.10077 | -0.10077 | -0.10071 | -0.10081 | -0.1009  | -0.10116 | -0.10105 | -0.10112 | -0.10117 | -0.10117 | -0.10116 |
| 2  | -0.09919 | -0.10042 | -0.10051 | -0.10083 | -0.10091 | -0.10206 | -0.10249 | -0.10249 | -0.1025  | -0.10253 | -0.10254 | -0.10254 | -0.10254 | -0.10254 | -0.10254 | -0.10254 | -0.10256 | -0.10321 |  -0.103  | -0.1033  | -0.10335 | -0.10322 | -0.10332 | -0.10333 | -0.10332 |
| 3  | -0.10628 | -0.10486 | -0.10469 | -0.10426 | -0.10421 | -0.10507 | -0.10558 | -0.10558 | -0.1056  | -0.10562 | -0.10562 | -0.10562 | -0.10562 | -0.10562 | -0.10562 | -0.10564 | -0.10566 | -0.10564 | -0.10571 | -0.10644 | -0.1063  | -0.10623 | -0.10638 | -0.10638 | -0.10638 |
| 4  | -0.11374 | -0.1119  | -0.11187 | -0.11168 | -0.11181 | -0.11171 | -0.11189 | -0.11189 | -0.11189 | -0.11191 | -0.11191 | -0.11191 | -0.11191 | -0.11191 | -0.11191 | -0.11194 | -0.11187 | -0.11217 | -0.11227 | -0.11268 | -0.11261 | -0.11253 | -0.1126  | -0.11261 | -0.11261 |
| 5  | -0.12141 | -0.12023 | -0.12038 | -0.12036 | -0.12054 | -0.11981 | -0.11971 | -0.1197  | -0.1197  | -0.11972 | -0.11973 | -0.11973 | -0.11973 | -0.11972 | -0.11973 | -0.11974 | -0.1198  | -0.12014 | -0.12023 | -0.12047 | -0.1204  | -0.1203  | -0.12037 | -0.12039 | -0.12038 |
